order_id,payment_method,amount,payment_status
127,Net Banking,11696,Paid
128,Debit Card,12144,Paid
129,Cash on Delivery,9855.75,Paid
130,Credit Card,0,Failed
131,Credit Card,3199,Paid
132,Cash on Delivery,21556.45,Refunded
133,UPI,4000.5,Paid
134,Net Banking,10256.4,Paid
135,Net Banking,23265.5,Refunded
136,UPI,9117.15,Paid
137,Cash on Delivery,3036.2,Paid
138,Credit Card,13494,Paid
139,Debit Card,7787.15,Paid
140,Net Banking,16495,Refunded
141,Cash on Delivery,8396,Paid
142,UPI,5756.4,Refunded
143,Cash on Delivery,18843,Paid
144,UPI,21191,Paid
145,Credit Card,15394,Paid
146,Net Banking,0,Failed
147,Debit Card,16590,Paid
148,Debit Card,0,Failed
149,Cash on Delivery,4117.4,Paid
150,Cash on Delivery,828,Paid
151,Credit Card,4317.3,Refunded
152,UPI,8157.45,Paid
153,Credit Card,5896,Refunded
154,UPI,26992,Refunded
155,Net Banking,11293,Paid
156,UPI,6843,Paid
157,Credit Card,24293.7,Paid
158,Credit Card,12693,Refunded
159,Debit Card,14292,Paid
160,Net Banking,11692,Paid
161,Debit Card,2519.1,Refunded
162,Net Banking,12913.35,Paid
163,Net Banking,0,Failed
164,Credit Card,12595,Paid
165,Cash on Delivery,8096,Paid
166,UPI,20308.2,Paid
167,Debit Card,7121.2,Refunded
168,UPI,4498,Paid
169,Net Banking,4197,Paid
170,Credit Card,6998,Paid
171,Debit Card,8260.25,Refunded
172,UPI,0,Failed
173,Net Banking,5244,Paid
174,Debit Card,6295,Paid
175,Cash on Delivery,2562.15,Paid
176,Cash on Delivery,2796,Refunded
177,Cash on Delivery,4745.25,Paid
178,Credit Card,0,Failed
179,Cash on Delivery,4509.65,Paid
180,Cash on Delivery,19493,Paid
181,Net Banking,9803.7,Refunded
182,Credit Card,0,Failed
183,Cash on Delivery,14247.15,Paid
184,Credit Card,7407.15,Paid
185,Debit Card,7295,Refunded
186,UPI,18891.9,Paid
187,UPI,7788.1,Refunded
188,UPI,11896.6,Paid
189,Cash on Delivery,2397,Paid
190,Debit Card,12614.85,Paid
191,Net Banking,7647.45,Paid
192,Net Banking,4077.45,Paid
193,Debit Card,8454.6,Paid
194,Net Banking,15745.5,Paid
195,Net Banking,7560.75,Paid
196,Net Banking,6242,Paid
197,Credit Card,0,Failed
198,Net Banking,16314.05,Refunded
199,Net Banking,2164.95,Paid
200,Debit Card,0,Failed
201,Credit Card,5306.4,Paid
202,UPI,5998,Paid
203,Debit Card,5318.1,Paid
204,Debit Card,11585.25,Paid
205,Cash on Delivery,14665.5,Paid
206,Net Banking,4077.45,Paid
207,UPI,6118.2,Paid
208,Credit Card,19343,Paid
209,Debit Card,9441,Paid
210,Net Banking,0,Failed
211,Debit Card,7647.45,Paid
212,Net Banking,18181.5,Paid
213,Debit Card,5694,Refunded
214,Net Banking,9430.75,Paid
215,Net Banking,1708.1,Refunded
216,Debit Card,0,Failed
217,Cash on Delivery,4272.15,Refunded
218,Debit Card,1998,Paid
219,Cash on Delivery,0,Failed
220,Cash on Delivery,9130.5,Paid
221,Debit Card,7695,Refunded
222,Credit Card,6997,Paid
223,Debit Card,18691,Paid
224,Debit Card,1028.05,Refunded
225,Cash on Delivery,0,Failed
226,Net Banking,6497,Refunded
227,Debit Card,6996,Paid
228,UPI,8593,Refunded
229,Credit Card,1337.2,Paid
230,Net Banking,7742,Paid
231,Net Banking,0,Failed
232,Cash on Delivery,3797,Paid
233,Net Banking,5095.75,Paid
234,Net Banking,2097,Refunded
235,Net Banking,11205.25,Paid
236,Debit Card,8997,Paid
237,UPI,2998,Refunded
238,Net Banking,21692,Paid
239,UPI,0,Failed
240,Credit Card,14144.85,Paid
241,Net Banking,0,Failed
242,Cash on Delivery,11196,Paid
243,Debit Card,1798,Paid
244,Net Banking,15472.8,Paid
245,UPI,2338.2,Refunded
246,Debit Card,10394.9,Paid
247,Credit Card,5394,Paid
248,Net Banking,4345,Refunded
249,Credit Card,0,Failed
250,Net Banking,978.1,Paid
251,Cash on Delivery,2247,Paid
252,Net Banking,0,Failed
253,Net Banking,7993,Paid
254,Debit Card,12913.35,Paid
255,UPI,4126.8,Refunded
256,UPI,0,Failed
257,UPI,9854.9,Paid
258,UPI,9211.2,Refunded
259,Net Banking,9429.9,Refunded
260,Credit Card,9264.6,Refunded
261,Debit Card,2699.1,Refunded
262,Debit Card,0,Failed
263,Cash on Delivery,4649.3,Refunded
264,Debit Card,0,Failed
265,UPI,15342,Paid
266,Debit Card,8817.3,Refunded
267,Debit Card,0,Failed
268,Net Banking,0,Failed
269,UPI,18693,Refunded
270,Net Banking,0,Failed
271,UPI,800.65,Paid
272,Cash on Delivery,0,Failed
273,Credit Card,843.15,Paid
274,Credit Card,5181.6,Refunded
275,Credit Card,0,Failed
276,Cash on Delivery,1698,Paid
277,Debit Card,4797,Refunded
278,Credit Card,10494,Paid
279,Debit Card,0,Failed
280,Net Banking,15192.4,Refunded
281,Credit Card,0,Failed
282,Cash on Delivery,2247,Paid
283,Credit Card,4269.6,Paid
284,Debit Card,9311.4,Paid
285,Cash on Delivery,0,Failed
286,UPI,8794,Paid
287,Debit Card,12487.35,Paid
288,Cash on Delivery,0,Failed
289,Net Banking,8393,Paid
290,Credit Card,24294,Refunded
291,Cash on Delivery,8496.6,Paid
292,Net Banking,10197.45,Paid
293,Credit Card,20493,Refunded
294,Net Banking,0,Failed
295,Cash on Delivery,25489,Paid
296,UPI,0,Failed
297,Debit Card,0,Failed
298,UPI,9175.75,Paid
299,Net Banking,4077.45,Paid
300,Cash on Delivery,2997,Refunded
301,Debit Card,6539.9,Refunded
302,Debit Card,20492,Paid
303,UPI,14594,Paid
304,UPI,9998,Paid
305,Net Banking,0,Failed
306,Net Banking,13497.3,Refunded
307,Credit Card,0,Failed
308,Net Banking,4749.05,Refunded
309,UPI,0,Failed
310,Cash on Delivery,0,Failed
311,Debit Card,0,Failed
312,Cash on Delivery,0,Failed
313,Credit Card,8997,Paid
314,UPI,0,Failed
315,Debit Card,708.1,Paid
316,Debit Card,10796,Paid
317,Cash on Delivery,8903.7,Paid
318,Cash on Delivery,9943,Paid
319,UPI,0,Failed
320,Debit Card,12144.6,Refunded
321,Credit Card,12246.45,Paid
322,Debit Card,2372.15,Paid
323,Credit Card,3796.2,Paid
324,Credit Card,4407.3,Paid
325,UPI,7373.7,Refunded
326,Debit Card,18515.5,Paid
327,Credit Card,4712.4,Refunded
328,Net Banking,17568.35,Refunded
329,Debit Card,9998,Paid
330,Credit Card,10044,Paid
331,UPI,2969.1,Refunded
332,UPI,8997,Paid
333,Credit Card,6836.55,Refunded
334,Cash on Delivery,7005.7,Paid
335,Debit Card,0,Failed
336,Debit Card,5997,Paid
337,Debit Card,7984.05,Refunded
338,UPI,12347.15,Paid
339,Credit Card,0,Failed
340,Credit Card,0,Failed
341,Debit Card,11244.6,Paid
342,UPI,2799,Refunded
343,Credit Card,7297,Paid
344,Net Banking,13494,Paid
345,Net Banking,10636.2,Paid
346,UPI,5600.25,Paid
347,Cash on Delivery,14844.6,Paid
348,UPI,16142.35,Paid
349,Debit Card,0,Failed
350,Debit Card,12248.35,Paid
351,Debit Card,0,Failed
352,Net Banking,17417.35,Refunded
353,UPI,0,Failed
354,Credit Card,7648.2,Paid
355,UPI,15091,Paid
356,Cash on Delivery,13861.45,Paid
357,Cash on Delivery,3897,Paid
358,Net Banking,15294.9,Refunded
359,Cash on Delivery,21390,Paid
360,Cash on Delivery,9092,Paid
361,Debit Card,0,Failed
362,Debit Card,1599,Paid
363,Credit Card,0,Failed
364,Debit Card,16293,Paid
365,UPI,2419.65,Refunded
366,UPI,4500.75,Paid
367,Credit Card,7137.45,Paid
368,Cash on Delivery,5098.3,Paid
369,Net Banking,16524.85,Paid
370,Net Banking,8906.4,Paid
371,Cash on Delivery,0,Failed
372,Debit Card,21292,Paid
373,Credit Card,6363.1,Paid
374,UPI,4462.15,Paid
375,Debit Card,9006.6,Paid
376,UPI,7647.45,Paid
377,Debit Card,15099.3,Paid
378,Credit Card,14140,Refunded
379,Debit Card,2974.15,Refunded
380,Debit Card,4272.15,Paid
381,Cash on Delivery,1477,Paid
382,Net Banking,27738,Paid
383,Cash on Delivery,7050.75,Paid
384,Debit Card,11394,Refunded
385,Net Banking,10826.2,Paid
386,Cash on Delivery,6457.45,Refunded
387,Credit Card,3597.3,Paid
388,Credit Card,13896,Refunded
389,Net Banking,14812.4,Paid
390,Net Banking,20340,Paid
391,Net Banking,0,Failed
392,UPI,15463.2,Paid
393,Net Banking,21991,Paid
394,Debit Card,7916.4,Refunded
395,Debit Card,6697,Refunded
396,Debit Card,7736.4,Paid
397,Net Banking,3057.3,Paid
398,Net Banking,10705.5,Paid
399,Credit Card,3564.9,Paid
400,Debit Card,20938.95,Refunded
401,Cash on Delivery,16824.9,Paid
402,Net Banking,15194,Refunded
403,Cash on Delivery,4225.5,Paid
404,UPI,2547.45,Paid
405,Credit Card,12246.45,Refunded
406,UPI,7646.4,Refunded
407,Credit Card,4758.3,Paid
408,UPI,14292,Paid
409,Debit Card,4749.05,Refunded
410,Net Banking,5998,Paid
411,Debit Card,1352.3,Paid
412,Cash on Delivery,0,Failed
413,UPI,5315.25,Paid
414,Debit Card,16094,Paid
415,Debit Card,5307.4,Paid
416,UPI,11556.6,Paid
417,UPI,0,Failed
418,Debit Card,9005.75,Paid
419,Cash on Delivery,4843.3,Paid
420,Debit Card,6695,Paid
421,Net Banking,6896,Paid
422,Net Banking,18540,Paid
423,Debit Card,7135.75,Refunded
424,Debit Card,7796,Refunded
425,Debit Card,5395,Paid
426,Net Banking,12052.8,Paid
427,Net Banking,11213.2,Refunded
428,Net Banking,3039.05,Paid
429,Credit Card,0,Failed
430,Debit Card,14315.7,Paid
431,Cash on Delivery,928.15,Paid
432,Debit Card,5097.45,Paid
433,Net Banking,17691,Paid
434,Net Banking,7844,Paid
435,Debit Card,25101.0,Paid
436,Cash on Delivery,7441,Paid
437,UPI,0,Failed
438,Cash on Delivery,1992.15,Refunded
439,UPI,15292,Paid
440,Cash on Delivery,25073.35,Refunded
441,Cash on Delivery,1477,Paid
442,Credit Card,800.65,Refunded
443,Credit Card,13894,Paid
444,UPI,24596.45,Paid
445,Net Banking,6202.8,Paid
446,Debit Card,2878.2,Paid
447,Cash on Delivery,5505.25,Paid
448,Debit Card,10644,Paid
449,UPI,758.15,Paid
450,Cash on Delivery,14095,Refunded
451,Net Banking,7497,Paid
452,Net Banking,9498.1,Paid
453,UPI,20228.35,Paid
454,Cash on Delivery,23093,Paid
455,Cash on Delivery,3499,Paid
456,Credit Card,12345.25,Paid
457,UPI,10343.7,Paid
458,Net Banking,21493,Refunded
459,Debit Card,8997,Paid
460,Credit Card,8395,Refunded
461,Net Banking,1992.15,Paid
462,Net Banking,8397,Paid
463,Net Banking,0,Failed
464,UPI,10446.2,Refunded
465,Cash on Delivery,0,Failed
466,Credit Card,20178.0,Paid
467,Net Banking,2598,Paid
468,UPI,20491,Paid
469,Credit Card,6296.4,Paid
470,UPI,0,Failed
471,Debit Card,9516.6,Paid
472,Net Banking,4198,Paid
473,Net Banking,2998,Paid
474,Cash on Delivery,3897,Paid
475,Cash on Delivery,0,Failed
476,Credit Card,4587.3,Refunded
477,Credit Card,0,Failed
478,UPI,10026.6,Paid
479,Credit Card,19032.35,Paid
480,Credit Card,16692,Paid
481,Net Banking,0,Failed
482,Credit Card,0,Failed
483,Credit Card,3798.1,Refunded
484,Net Banking,0,Failed
485,Cash on Delivery,4748.1,Refunded
486,Debit Card,8751.6,Paid
487,Cash on Delivery,17940,Paid
488,Credit Card,2292.45,Paid
489,UPI,15207.35,Paid
490,Net Banking,0,Failed
491,Credit Card,3056.4,Paid
492,UPI,8094.6,Paid
493,Cash on Delivery,9892.8,Paid
494,Debit Card,0,Failed
495,Credit Card,12742,Paid
496,Cash on Delivery,0,Failed
497,Debit Card,6541.6,Paid
498,Cash on Delivery,5098.3,Paid
499,UPI,12774.6,Paid
500,Net Banking,8997,Paid
501,UPI,0,Failed
502,Net Banking,1577,Refunded
503,Debit Card,13594,Paid
504,Net Banking,0,Failed
505,UPI,14052.4,Refunded
506,Net Banking,12692,Paid
507,Debit Card,4797,Paid
508,UPI,18293,Paid
509,UPI,0,Failed
510,Debit Card,13995,Paid
511,Credit Card,13849.05,Paid
512,Debit Card,9305.25,Paid
513,Net Banking,13223.7,Paid
514,Cash on Delivery,10194.9,Paid
515,Credit Card,15953.35,Paid
516,Credit Card,6796,Paid
517,UPI,12144,Paid
518,Cash on Delivery,8922.45,Paid
519,UPI,4998,Paid
520,Debit Card,0,Failed
521,UPI,1485.8,Paid
522,Cash on Delivery,4096,Paid
523,Net Banking,5217.3,Refunded
524,Debit Card,8354.3,Paid
525,Cash on Delivery,5398.2,Paid
526,UPI,2996,Paid
527,Net Banking,2697,Paid
528,Cash on Delivery,5398.2,Paid
529,Debit Card,11874.6,Paid
530,UPI,11292,Refunded
531,Net Banking,7296,Refunded
532,Net Banking,0,Failed
533,UPI,5170.5,Paid
534,Net Banking,37089,Paid
535,Net Banking,8591,Paid
536,Debit Card,0,Failed
537,UPI,9684.3,Refunded
538,UPI,6195,Refunded
539,Debit Card,6941,Refunded
540,Debit Card,0,Failed
541,Credit Card,7389.9,Paid
542,Net Banking,0,Failed
543,Cash on Delivery,7405.25,Paid
544,Credit Card,0,Failed
545,Debit Card,13044,Refunded
546,Debit Card,3695,Paid
547,Credit Card,2999,Paid
548,Cash on Delivery,0,Failed
549,Cash on Delivery,3324.05,Paid
550,Credit Card,8997,Paid
551,Cash on Delivery,6834.3,Paid
552,Cash on Delivery,20798.35,Paid
553,Net Banking,7557.3,Refunded
554,UPI,10193,Paid
555,Debit Card,0,Failed
556,Debit Card,12142.8,Paid
557,Debit Card,11468.2,Paid
558,Debit Card,9197,Paid
559,Debit Card,10119.6,Paid
560,Net Banking,4797,Paid
561,Credit Card,7262.4,Paid
562,Debit Card,14020.75,Paid
563,Net Banking,0,Failed
564,Net Banking,7466.4,Paid
565,Debit Card,11776.2,Paid
566,Net Banking,9401.2,Paid
567,Net Banking,8343,Refunded
568,Cash on Delivery,0,Failed
569,Credit Card,5316.2,Paid
570,Credit Card,14304.6,Paid
571,Net Banking,11675.5,Paid
572,UPI,3898,Paid
573,Net Banking,4797,Paid
574,Cash on Delivery,7495,Paid
575,Net Banking,8994,Refunded
576,UPI,2659.05,Paid
577,Net Banking,17542.8,Paid
578,Credit Card,28491,Paid
579,Net Banking,6372.45,Paid
580,UPI,30591,Paid
581,Net Banking,6895,Paid
582,Cash on Delivery,0,Failed
583,UPI,4202.4,Refunded
584,Cash on Delivery,8306.8,Paid
585,UPI,1427.2,Paid
586,Credit Card,5035.5,Paid
587,Credit Card,17492,Paid
588,UPI,2397,Refunded
589,Debit Card,22670.1,Refunded
590,UPI,5997,Paid
591,Net Banking,1502.1,Refunded
592,Net Banking,12396,Paid
593,Cash on Delivery,0,Failed
594,Cash on Delivery,6292.8,Paid
595,Debit Card,8892,Refunded
596,Cash on Delivery,4981.8,Paid
597,Net Banking,20691,Paid
598,Debit Card,0,Failed
599,UPI,6972.3,Paid
600,Cash on Delivery,16737.35,Paid
601,Credit Card,16242,Paid
602,Credit Card,9642,Paid
603,Debit Card,11785.5,Paid
604,UPI,0,Failed
605,Net Banking,0,Failed
606,Cash on Delivery,8997,Paid
607,Net Banking,16092,Refunded
608,Credit Card,0,Failed
609,Debit Card,15763.25,Paid
610,Cash on Delivery,0,Failed
611,UPI,5438.3,Refunded
612,Credit Card,6625.75,Refunded
613,Credit Card,7137.45,Paid
614,UPI,8634.6,Paid
615,Credit Card,0,Failed
616,Credit Card,14342,Refunded
617,Debit Card,6596.8,Paid
618,Debit Card,6647.15,Paid
619,UPI,1477,Paid
620,Net Banking,0,Failed
621,UPI,0,Failed
622,Cash on Delivery,0,Failed
623,Net Banking,9388.25,Paid
624,Net Banking,933.05,Paid
625,Debit Card,0,Failed
626,Cash on Delivery,5596,Paid
627,Debit Card,3198,Refunded
628,Cash on Delivery,3499,Paid
629,UPI,0,Failed
630,Debit Card,7593,Paid
631,Cash on Delivery,10496,Refunded
632,Credit Card,9117.15,Paid
633,Credit Card,0,Failed
634,Credit Card,8997,Paid
635,Debit Card,3747.75,Paid
636,UPI,18194,Paid
637,Net Banking,4044.6,Paid
638,Debit Card,9597,Paid
639,Net Banking,6596,Paid
640,Debit Card,12595.5,Paid
641,Debit Card,12595,Refunded
642,Credit Card,0,Failed
643,Cash on Delivery,0,Failed
644,Debit Card,2397,Paid
645,Cash on Delivery,10748.7,Refunded
646,UPI,13043.7,Paid
647,Debit Card,8155.75,Paid
648,UPI,16095,Paid
649,Credit Card,19092,Paid
650,Net Banking,0,Failed
651,Cash on Delivery,17361.9,Paid
652,Cash on Delivery,2547,Paid
653,Credit Card,8692,Refunded
654,Debit Card,15144.9,Paid
655,Net Banking,13494,Refunded
656,Net Banking,2519.1,Paid
657,UPI,0,Failed
658,Net Banking,9307.15,Paid
659,Debit Card,10995,Paid
660,Debit Card,1999,Paid
661,UPI,6362.15,Paid
662,Net Banking,2659.05,Refunded
663,Debit Card,13483.35,Paid
664,UPI,3897,Paid
665,Debit Card,0,Failed
666,Cash on Delivery,5663.7,Paid
667,Debit Card,18517.4,Paid
668,Cash on Delivery,6250.5,Paid
669,Credit Card,7464.6,Paid
670,UPI,4494,Paid
671,Debit Card,0,Failed
672,Debit Card,1992.15,Refunded
673,Credit Card,0,Failed
674,Net Banking,4839.9,Refunded
675,UPI,5860.75,Paid
676,Net Banking,7105.5,Paid
677,Credit Card,1078,Paid
678,Debit Card,0,Failed
679,Credit Card,4249.15,Paid
680,Credit Card,11596,Paid
681,Credit Card,4497,Paid
682,Net Banking,3795,Paid
683,Credit Card,12828.2,Paid
684,Net Banking,5998,Paid
685,Net Banking,0,Failed
686,Debit Card,21693,Paid
687,Cash on Delivery,5938.2,Refunded
688,Net Banking,19794,Paid
689,Credit Card,16244,Refunded
690,Credit Card,11297.4,Paid
691,Debit Card,10995,Paid
692,UPI,708.1,Paid
693,Net Banking,8547.15,Refunded
694,UPI,2498,Paid
695,Credit Card,1078,Paid
696,Credit Card,10693,Paid
697,UPI,8547.15,Paid
698,Cash on Delivery,8878.7,Paid
699,Credit Card,0,Failed
700,Net Banking,15113.7,Refunded
701,UPI,0,Failed
702,Net Banking,3324.05,Paid
703,Net Banking,2547.45,Paid
704,UPI,1502.1,Paid
705,Cash on Delivery,2997,Paid
706,Credit Card,8194,Paid
707,Debit Card,8095.5,Paid
708,Debit Card,6495,Paid
709,Net Banking,28889,Paid
710,Net Banking,7260.85,Paid
711,Cash on Delivery,9196,Paid
712,UPI,17591,Paid
713,Net Banking,8542,Paid
714,Debit Card,24490,Paid
715,Net Banking,1248.1,Paid
716,Debit Card,19285.65,Paid
717,Debit Card,1998,Paid
718,Cash on Delivery,7107.3,Refunded
719,Credit Card,9496,Paid
720,Credit Card,14896,Paid
721,UPI,0,Failed
722,Net Banking,978.1,Paid
723,Credit Card,1078,Paid
724,Debit Card,0,Failed
725,Credit Card,14168.7,Paid
726,Cash on Delivery,0,Failed
727,Credit Card,17542.8,Refunded
728,UPI,0,Failed
729,Credit Card,5244,Paid
730,Credit Card,26792,Refunded
731,UPI,21052.8,Paid
732,Cash on Delivery,15876.0,Refunded
733,UPI,1599,Paid
734,UPI,19373.35,Paid
735,Net Banking,22640,Paid
736,UPI,10094,Paid
737,Net Banking,1782.45,Refunded
738,Credit Card,32190,Refunded
739,Net Banking,4856.4,Paid
740,Cash on Delivery,0,Failed
741,Debit Card,9895.5,Paid
742,Credit Card,10494,Refunded
743,Credit Card,2338.2,Paid
744,UPI,11392,Refunded
745,Debit Card,12145.5,Paid
746,Net Banking,1378,Paid
747,Cash on Delivery,24975.5,Paid
748,Cash on Delivery,10195.75,Refunded
749,Credit Card,0,Failed
750,Cash on Delivery,23192,Paid
751,Debit Card,0,Failed
752,Credit Card,0,Failed
753,Credit Card,10097,Paid
754,Credit Card,14033.7,Paid
755,Debit Card,25189,Refunded
756,UPI,0,Failed
757,Net Banking,673.15,Paid
758,Credit Card,4856.4,Paid
759,Debit Card,0,Failed
760,Cash on Delivery,7477.45,Paid
761,Cash on Delivery,8770.5,Paid
762,Cash on Delivery,8095.5,Refunded
763,UPI,7786.2,Refunded
764,UPI,14997,Paid
765,Credit Card,2037.45,Paid
766,Credit Card,2549.15,Refunded
767,Credit Card,6794.9,Refunded
768,Debit Card,9595,Paid
769,Debit Card,0,Failed
770,UPI,15572.4,Refunded
771,Net Banking,3998,Paid
772,UPI,7421.4,Paid
773,Credit Card,8814.6,Refunded
774,Credit Card,16293,Refunded
775,Net Banking,28593,Paid
776,Credit Card,15654.6,Refunded
777,Cash on Delivery,7869.6,Paid
778,Credit Card,7815.75,Paid
779,Cash on Delivery,11495,Paid
780,Debit Card,0,Failed
781,Debit Card,0,Failed
782,Debit Card,8068.35,Paid
783,Credit Card,10492.75,Paid
784,Net Banking,0,Failed
785,Debit Card,743.05,Paid
786,Credit Card,0,Failed
787,Cash on Delivery,0,Failed
788,Debit Card,8072.45,Paid
789,Cash on Delivery,13391,Paid
790,Net Banking,8907.3,Paid
791,UPI,12892,Paid
792,Cash on Delivery,1352.3,Refunded
793,Debit Card,16995,Refunded
794,Cash on Delivery,5596,Paid
795,Cash on Delivery,12414.6,Refunded
796,UPI,15039.9,Paid
797,Cash on Delivery,8396,Paid
798,Credit Card,10294,Paid
799,Credit Card,17164.9,Refunded
800,Net Banking,13987.8,Paid
801,Debit Card,2999,Refunded
802,UPI,1992.15,Paid
803,Cash on Delivery,0,Failed
804,Credit Card,0,Failed
805,UPI,6296,Refunded
806,Net Banking,0,Failed
807,Debit Card,12057.4,Refunded
808,Net Banking,7737.3,Paid
809,Debit Card,10541.2,Paid
810,Cash on Delivery,12744.05,Paid
811,Credit Card,13640,Paid
812,Credit Card,7216.2,Paid
813,Net Banking,0,Failed
814,UPI,3312.45,Paid
815,Credit Card,7645.5,Paid
816,Debit Card,12592,Paid
817,Credit Card,800.65,Refunded
818,Debit Card,6944,Paid
819,Cash on Delivery,9997,Paid
820,Credit Card,17724.6,Paid
821,Credit Card,6595,Paid
822,Cash on Delivery,0,Failed
823,Credit Card,10364.9,Paid
824,UPI,4758.3,Paid
825,Credit Card,19693,Paid
826,Debit Card,4074.9,Paid
827,Net Banking,20223.2,Paid
828,Debit Card,888.1,Paid
829,Net Banking,10444.3,Paid
830,Debit Card,1998,Paid
831,Debit Card,0,Failed
832,UPI,14043,Paid
833,UPI,1798.2,Paid
834,UPI,0,Failed
835,Debit Card,14493,Paid
836,Credit Card,2698.2,Paid
837,Debit Card,16544,Refunded
838,Debit Card,5128.2,Paid
839,Net Banking,17671.5,Paid
840,Debit Card,0,Failed
841,Net Banking,14491,Paid
842,Credit Card,2606.4,Paid
843,Debit Card,0,Failed
844,UPI,14525.5,Paid
845,Debit Card,10885.5,Paid
846,Cash on Delivery,9645,Paid
847,UPI,8157.45,Refunded
848,Net Banking,12233.7,Paid
849,UPI,4045.5,Paid
850,Cash on Delivery,19394,Paid
851,UPI,0,Failed
852,UPI,8276.4,Refunded
853,Credit Card,0,Failed
854,Credit Card,2419.95,Paid
855,Net Banking,18493,Paid
856,Net Banking,15695,Paid
857,Debit Card,19492,Paid
858,Net Banking,2468.1,Refunded
859,Credit Card,11214.05,Paid
860,UPI,2799,Paid
861,Net Banking,17247.35,Paid
862,Net Banking,8185.5,Paid
863,Debit Card,15099.3,Refunded
864,Net Banking,1352.3,Paid
865,Credit Card,18094,Paid
